Application name,Application version
"7-Zip 24.06 (x64)","24.06"
"A97ECD55.KYOCERAPrintCenter","4.2.11031.0"
"AcrobatNotificationClient","1.0.4.0"
"Adobe Acrobat (64-bit)","24.002.20759"
"Adobe Genuine Service","8.4.0.63"
"AdobeAcrobatDCCoreApp","23.0.0.0"
"Alteryx Designer 2023.2","2023.2.1.7"
"Amazon Chime","4.39.10374.1"
"AnyDesk","ad 8.0.8"
"AppUp.IntelGraphicsExperience","1.100.5487.0"
"AppUp.ThunderboltControlCenter","1.0.37.0"
"AutoCAD Open in Desktop","1.0.26.0"
"Autodesk App Manager","3.3.0"
"Autodesk AutoCAD Performance Feedback Tool 1.3.12","1.3.12.0"
"Autodesk Batch Save Utility (Standalone)","3.4.131.0"
"Autodesk Civil 3D 2023 - English","13.5.131.0"
"Autodesk Civil 3D 2023 Object Enabler","13.5.131.0"
"Autodesk Desktop App","8.2.0.34"
"Autodesk Featured Apps","3.3.0"
"Autodesk Genuine Service","4.5.0.119"
"Autodesk Material Library 2023","21.0.1.1"
"Autodesk Material Library Base Resolution Image Library 2023","21.0.1.1"
"Autodesk Save to Web and Mobile","3.0.30"
"Autodesk Single Sign On Component","13.3.3.1803"
"Bluebeam Revu x64 21","21.0.50"
"BluebeamOCR 21","21.0.30"
"Box","2.38.173"
"Box for Office","4.23.1576.0"
"Cisco Secure Client - AnyConnect VPN","5.1.2.42"
"Cisco Secure Client - Cloud Management","1.0.3.433"
"Cisco Secure Client - Umbrella","5.1.2.42"
"Cisco Webex Meetings","43.5.0"
"CrowdStrike Windows Sensor","6.14.12806.0"
"Disney.37853FC22B2CE","2024.3.211.0"
"DolbyLaboratories.DolbyAccess","3.22.10269.0"
"E046963F.LenovoSettingsforEnterprise","10.2401.29.0"
"FortiClient VPN","6.4.7.1713"
"Foxit PDF Reader","2024.2.2.25170"
"GoTo Opener","1.0.562"
"GoToMeeting 10.20.0.19992","10.20.0.19992"
"Google Earth Pro","7.3.6.9796"
"KYOCERA Status Monitor 5","5.0.9814"
"Kyocera Product Library","6.0.4912"
"Lenovo System Update","5.08.02.25"
"Lenovo Vantage Service","4.0.52.0"
"MSTeams","24102.2223.2870.9480"
"ManageEngine UEMS - Agent","11.2.2325.20.W"
"Microsoft .NET Core Runtime - 3.1.32 (x64)","3.1.32.31915"
"Microsoft 365 Apps for enterprise - en-us","16.0.17425.20236"
"Microsoft ASP.NET Core 3.1.32 - Shared Framework (x64)","3.1.32.22566"
"Microsoft Edge","125.0.2535.92"
"Microsoft Edge Update","1.3.187.41"
"Microsoft Edge WebView2 Runtime","125.0.2535.92"
"Microsoft Intune Management Extension","1.79.158.0"
"Microsoft ODBC Driver 13 for SQL Server","13.1.4414.46"
"Microsoft OneDrive","24.101.0519.0010"
"Microsoft Project - en-us","16.0.17425.20236"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.13006"
"Microsoft Teams classic","1.7.00.7956"
"Microsoft Update Health Tools","3.74.0.0"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.32.31332","14.32.31332.0"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.32.31332","14.32.31332.0"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60724"
"Microsoft.549981C3F5F10","4.2308.1005.0"
"Microsoft.AV1VideoExtension","1.2.1293.0"
"Microsoft.Advertising.Xaml","10.1808.3.0"
"Microsoft.BingWeather","4.53.61401.0"
"Microsoft.DesktopAppInstaller","2024.506.2113.0"
"Microsoft.GetHelp","10.2403.20861.0"
"Microsoft.Getstarted","2021.2312.1.0"
"Microsoft.HEIFImageExtension","1.1.861.0"
"Microsoft.MSPaint","2024.2402.12017.0"
"Microsoft.Microsoft3DViewer","2024.2401.29012.0"
"Microsoft.MicrosoftEdge.Stable","125.0.2535.85"
"Microsoft.MicrosoftOfficeHub","18.2405.1221.0"
"Microsoft.MicrosoftPowerBIDesktop","2.129.1229.0"
"Microsoft.MicrosoftSolitaireCollection","4.19.5100.0"
"Microsoft.MicrosoftStickyNotes","6.0.2.0"
"Microsoft.MixedReality.Portal","2000.21051.1282.0"
"Microsoft.NET.Native.Framework.1.3","1.3.24211.0"
"Microsoft.NET.Native.Framework.1.7","1.7.27413.0"
"Microsoft.NET.Native.Framework.2.1","2.1.27427.0"
"Microsoft.NET.Native.Framework.2.2","2.2.29512.0"
"Microsoft.NET.Native.Runtime.1.4","1.4.24201.0"
"Microsoft.NET.Native.Runtime.1.7","1.7.27422.0"
"Microsoft.NET.Native.Runtime.2.1","2.1.26424.0"
"Microsoft.NET.Native.Runtime.2.2","2.2.28604.0"
"Microsoft.Office.OneNote","16001.14326.21886.0"
"Microsoft.OutlookForWindows","1.2023.616.100"
"Microsoft.People","2021.2202.100.0"
"Microsoft.ScreenSketch","2021.2008.3001.0"
"Microsoft.Services.Store.Engagement","10.0.23012.0"
"Microsoft.SkypeApp","15.119.3201.0"
"Microsoft.StorePurchaseApp","22403.1401.1.0"
"Microsoft.UI.Xaml.2.0","2.1810.18004.0"
"Microsoft.UI.Xaml.2.1","2.11906.6001.0"
"Microsoft.UI.Xaml.2.3","2.32002.13001.0"
"Microsoft.UI.Xaml.2.4","2.42007.9001.0"
"Microsoft.UI.Xaml.2.5","2.52012.2002.0"
"Microsoft.UI.Xaml.2.7","7.2208.15002.0"
"Microsoft.UI.Xaml.2.8","8.2310.30001.0"
"Microsoft.VCLibs.110.00.UWPDesktop","11.0.61135.0"
"Microsoft.VCLibs.120.00.UWPDesktop","12.0.40653.0"
"Microsoft.VCLibs.140.00","14.0.33519.0"
"Microsoft.VCLibs.140.00.UWPDesktop","14.0.33728.0"
"Microsoft.VP9VideoExtensions","1.1.451.0"
"Microsoft.Wallet","2.4.18324.0"
"Microsoft.WebMediaExtensions","1.1.1295.0"
"Microsoft.WebpImageExtension","1.1.1221.0"
"Microsoft.Windows.Ai.Copilot.Provider","1.0.3.0"
"Microsoft.Windows.Photos","2024.11030.15001.0"
"Microsoft.WindowsAlarms","2021.2403.8.0"
"Microsoft.WindowsAppRuntime.1.2","2000.802.31.0"
"Microsoft.WindowsAppRuntime.1.3","3000.934.1904.0"
"Microsoft.WindowsAppRuntime.1.4","4000.1227.1637.0"
"Microsoft.WindowsAppRuntime.1.5","5001.119.156.0"
"Microsoft.WindowsCalculator","2021.2403.6.0"
"Microsoft.WindowsCamera","2024.2404.4.0"
